timestamp,value,anomalyScore,label
1,0.0,0.13828436377266262,0
2,0.0,0.12123193478947136,0
3,0.0,0.1569332002441987,0
4,0.0,0.15051299815562752,0
5,0.0,0.13508891900227082,0
6,0.0,0.1267544664419975,0
7,0.0,0.14886959966542135,0
8,0.0,0.15246551665093022,0
9,0.0,0.10094097115603845,0
10,0.0,0.14891761673666454,0
11,0.0,0.13370655685433236,0
12,0.0,0.13955881412871596,0
13,0.0,0.1460541645527892,0
14,0.0,0.13997122989568433,0
15,0.0,0.1517159959086115,0
16,0.0,0.15942282880037406,0
17,0.0,0.12099335453334131,0
18,0.0,0.15584808722076215,0
19,0.0,0.13441470412670053,0
20,0.0,0.16472215268767165,0
21,0.0,0.15402134477129237,0
22,0.0,0.14054430738138912,0
23,0.0,0.10937268812419199,0
24,0.0,0.13972712183055425,0
25,0.0,0.13944385366247497,0
26,0.0,0.14186712884192454,0
27,0.0,-0.14269715096474223,1
28,0.0,-0.12713082904103012,1
29,0.0,-0.13830196982121046,1
30,0.0,-0.11421292764741953,1
31,0.0,-0.12081994500355142,1
1,0.0,0.1408122459705789,0
2,0.0,0.13724075850747774,0
3,0.0,0.08275909549345356,0
4,0.0,0.12647803028394455,0
5,0.0,0.1685886879799714,0
6,0.0,0.1475226796383795,0
7,0.0,0.12674546987354096,0
8,0.0,0.16562407306600402,0
9,0.0,0.19191362163679182,0
10,0.0,0.1815842860568821,0
11,0.0,0.1356768517283249,0
12,0.0,0.14255458463461407,0
13,0.0,0.17375618748781846,0
14,0.0,0.12858645523373313,0
15,0.0,0.12990111080845396,0
16,0.0,0.14701164792202265,0
17,0.0,0.14130631164672464,0
18,0.0,0.1612536826782724,0
19,0.0,0.13115564963701898,0
20,0.0,0.17072391553789829,0
21,0.0,0.17665099303288812,0
22,0.0,0.16903622825009623,0
23,0.0,0.16443994185322847,0
24,0.0,0.1845899125435313,0
25,0.0,0.17446271109952738,0
26,0.0,0.13282545267964185,0
27,0.0,0.17219517679097046,0
28,0.0,0.1659485877787918,0
29,0.0,0.15232419610873116,0
30,0.0,0.1774501768712965,0
31,0.0,0.1905557657066524,0
32,0.0,0.16866275264305874,0
33,0.0,0.16418027893973347,0
34,0.0,0.16479550489179284,0
35,0.0,0.1630290981504618,0
36,0.0,0.1870987437955795,0
37,0.0,0.13879112465447102,0
38,0.0,0.18191677682604468,0
39,0.0,0.1886173294395217,0
40,0.0,0.16044982584461676,0
41,0.0,0.17316641301766772,0
42,0.0,0.16290116739096028,0
43,0.0,0.15533791155087373,0
44,0.0,-0.07265107899775236,1
